"trait","valence","desirability","category","interpersonal","observability","prevalence","clusterName","cluster","outDegree","inDegree","between","eigen","close","efficiency","transitivity","pageRank"
"Accurate","positive",5.75,1.829,3.778,4.737,4.053,"Knowledgeable",1,32,16,100.635186475914,0.330264664095946,0.00392156862745098,0.692204301075269,0.270390070921986,0.00482055687520874
"Benevolent","positive",5.938,1.906,4.833,4.316,4.368,"Respectful",2,12,16,53.756371241599,0.376244425504286,0.00363636363636364,0.810606060606061,0.349206349206349,0.0054464204348356
"Calm","positive",6.25,1.453,4.389,5.526,4.947,"Thoughtful",3,35,28,405.691045694558,0.46867151023706,0.00403225806451613,0.700840336134454,0.18484383000512,0.010118780136895
"Capable","positive",6.25,1.197,4.167,5.105,5.105,"Knowledgeable",1,31,20,171.842091467649,0.361612805722546,0.00396825396825397,0.701433691756272,0.276862745098039,0.00566869409862273
"Casual","positive",5.75,1.348,4.722,4.842,5.211,"Respectful",2,8,24,75.932024546072,0.402327439291237,0.00371747211895911,0.663690476190476,0.256048387096774,0.0102952793129753
"Charitable","positive",6,1.269,5.111,4.842,4.105,"Respectful",2,17,19,46.6963876189834,0.409219029291771,0.00373134328358209,0.785539215686274,0.404761904761905,0.00597085368126435
"Charming","positive",6.25,1.682,5.722,4.889,4.895,"Outgoing",4,18,41,235.45746586943,0.722429090789162,0.00398406374501992,0.737472766884532,0.196376388077148,0.0152593847982981
"Clean","positive",6.312,1.805,3.222,5.579,5.105,"Level-headed",1,9,10,46.7361989556466,0.190672870134944,0.00343642611683849,0.689814814814815,0.304093567251462,0.00445880471868123
"Clean-cut","positive",5.562,2.166,2.944,4.842,4.842,"Level-headed",1,3,11,4.80998700253689,0.221821524550868,0.00340136054421769,0.833333333333333,0.428571428571429,0.00385185555356201
"Clear-headed","positive",6.562,1.649,4.222,5.211,4.737,"Knowledgeable",1,29,54,534.857897220578,0.830608365580598,0.0043859649122807,0.694991789819376,0.194828092859242,0.0124472543722336
"Clever","positive",6,1.921,4.278,5.053,4.211,"Thoughtful",3,17,22,97.8796641900356,0.388626817912431,0.00383141762452107,0.736519607843137,0.300944669365722,0.00599907702181784
"Comfortable","positive",6.188,1.125,4.333,5.158,5.158,"Respectful",2,9,41,177.539229545641,0.751018461348411,0.00403225806451613,0.46712962962963,0.280816326530612,0.014799397180028
"Communicative","positive",5.6,1.801,6.056,5.684,5.158,"Outgoing",4,20,13,132.852761457504,0.20883634924032,0.003690036900369,0.664035087719298,0.234848484848485,0.00495894733635368
"Compassionate","positive",6.25,1.49,5.5,5.158,5.167,"Respectful",2,19,30,106.033488361386,0.570965120636685,0.00390625,0.752436647173489,0.273809523809524,0.00892628958246295
"Composed","positive",5.812,1.704,4.611,5.368,5.053,"Level-headed",1,25,14,78.4147241535696,0.250439887182731,0.00378787878787879,0.745,0.311740890688259,0.00404913050753292
"Concise","positive",5.375,1.724,4.167,4.368,4.105,"Knowledgeable",1,14,10,24.5038805121093,0.189339627858646,0.00355871886120996,0.756410256410256,0.438405797101449,0.00339097480256303
"Confident","positive",6.5,1.551,4.667,5.632,4.947,"Thoughtful",3,20,16,100.430556818367,0.221801716953096,0.00380228136882129,0.676315789473684,0.255555555555556,0.00406357033086847
"Conscientious","positive",5.938,1.704,4.889,4.684,4.105,"Level-headed",1,17,19,68.3888903375529,0.411361150283678,0.00383141762452107,0.686274509803922,0.403174603174603,0.00532229089254728
"Considerate","positive",6.25,1.629,6.111,5.632,5.158,"Respectful",2,29,31,180.79820124304,0.638310971542253,0.004,0.770935960591133,0.26271186440678,0.00820050334479712
"Constructive","positive",5.8,1.435,4.882,4.842,4.737,"Knowledgeable",1,14,9,32.2193376948639,0.151911718908199,0.00359712230215827,0.732600732600733,0.367588932806324,0.00293099367048561
"Contemplative","positive",5.438,1.944,4.056,4.526,4.474,"Knowledgeable",1,16,5,7.56573127842254,0.0907498258370575,0.003584229390681,0.702777777777778,0.471428571428571,0.00173825718886824
"Cooperative","positive",6.562,1.622,5.722,5.211,5.474,"Respectful",2,48,14,177.267727513521,0.283933029698234,0.004149377593361,0.679964539007092,0.27392913802221,0.00396664593901097
"Cordial","positive",5.938,1.853,5.778,5.211,4.684,"Respectful",2,17,26,123.441046102342,0.496646332568112,0.00387596899224806,0.751225490196078,0.292358803986711,0.00773738318444951
"Courageous","positive",6.062,1.249,4.611,4.842,4.222,"Thoughtful",3,18,15,136.658337454207,0.227569757912164,0.00378787878787879,0.62363834422658,0.272727272727273,0.00584897813908511
"Dedicated","positive",5.5,1.993,4.389,4.842,5.105,"Knowledgeable",1,26,32,253.642169221263,0.485717531431399,0.00401606425702811,0.667948717948718,0.216575922565033,0.0079051325081035
"Deep","positive",5.438,1.326,3.444,3.947,4,"Knowledgeable",1,16,18,85.1256599128185,0.299829139840094,0.00377358490566038,0.609027777777778,0.28698752228164,0.0052283025257491
"Deliberate","positive",5.25,1.704,3.889,4.684,4.895,"Knowledgeable",1,21,19,67.3054669534638,0.358538867542965,0.00377358490566038,0.768253968253968,0.303846153846154,0.00520309757968343
"Delicate","positive",5.062,1.562,4.278,4.947,4,"Level-headed",2,9,8,35.7515999446244,0.140218717013895,0.0033112582781457,0.560185185185185,0.220588235294118,0.00497447807143795
"Democratic","positive",5.5,1.437,4.556,4.474,4.632,"Level-headed",1,11,25,87.1900327140608,0.414664954255615,0.00381679389312977,0.630909090909091,0.282539682539683,0.00612415244800623
"Dependable","positive",6.125,1.616,5.167,5.263,4.842,"Level-headed",1,30,15,121.23074415365,0.255005314805772,0.00389105058365759,0.697318007662835,0.27979797979798,0.00396175564882987
"Dignified","positive",6.062,1.698,4.444,5,3.579,"Level-headed",1,10,51,199.920747050272,0.944180743723627,0.00416666666666667,0.692592592592593,0.286885245901639,0.0169972009984526
"Disciplined","positive",5.625,1.6,4.222,5.211,4.842,"Knowledgeable",1,39,19,181.411526482042,0.289616226145735,0.00401606425702811,0.728520017993702,0.252873563218391,0.00557105775477655
"Eager","positive",5.375,1.622,4.111,5.211,4.895,"Knowledgeable",1,3,5,4.67165392639932,0.0730338101696369,0.00316455696202532,0.833333333333333,0.214285714285714,0.0023550815481882
"Economical","positive",5.312,1.801,3.444,4.737,4.737,"Knowledgeable",1,6,10,10.5364730460196,0.162591364320794,0.00338983050847458,0.8,0.458333333333333,0.00350350695032403
"Elegant","positive",5.188,1.197,4,5.421,3.579,"Level-headed",1,5,18,26.1614709804237,0.384286587923198,0.00359712230215827,0.783333333333333,0.383399209486166,0.00761332305849378
"Enthusiastic","positive",6.062,1.6,4.667,5.579,5,"Outgoing",4,12,27,201.299972850007,0.394137553668214,0.00381679389312977,0.577020202020202,0.209176788124157,0.00853540809683583
"Ethical","positive",5.875,1.693,4.889,4.684,5.158,"Respectful",2,25,38,279.109641266398,0.689805185224691,0.00411522633744856,0.680833333333333,0.248847926267281,0.0113338164982616
"Experienced","positive",6.062,1.463,3.5,4.947,4.789,"Knowledgeable",1,16,16,65.1830028697571,0.264184586884241,0.00371747211895911,0.7125,0.268145161290323,0.00478812768556461
"Extraverted","positive",5.562,1.7,5.389,5.789,5.053,"Outgoing",4,5,23,31.311207941617,0.340930789552028,0.003584229390681,0.9,0.285714285714286,0.0069361976529027
"Fair","positive",6.188,1.404,5,4.684,4.789,"Respectful",2,26,16,57.6600141084971,0.327225164637839,0.00384615384615385,0.796410256410256,0.344947735191638,0.00430367121754567
"Faithful","positive",5.938,1.298,5.111,4.263,5,"Respectful",2,8,28,68.9089474256226,0.512480804260637,0.00381679389312977,0.660714285714286,0.317460317460317,0.00794510474418062
"Fearless","positive",5.625,1.618,3.889,4.684,3.684,"Thoughtful",3,4,15,30.6414206909766,0.254102813875469,0.003584229390681,0.833333333333333,0.315789473684211,0.00556336092334329
"Flexible","positive",5.75,1.263,4.667,5.053,5.053,"Respectful",2,30,23,316.180242884757,0.444586573662182,0.004,0.647126436781609,0.232946298984035,0.00897713547596173
"Foresighted","positive",5.938,1.9,3.722,4.053,3.737,"Knowledgeable",1,22,14,47.3087810287856,0.24323909391764,0.00380228136882129,0.717893217893218,0.371428571428571,0.00344782385297445
"Frank","positive",5.125,1.741,5.167,5.105,4.421,"Thoughtful",3,20,11,112.946796588681,0.154999071244628,0.00374531835205993,0.67280701754386,0.243010752688172,0.00422416809416604
"Friendly","positive",6.562,1.944,6.167,5.684,5.526,"Respectful",2,54,20,337.523336288513,0.368501838393266,0.00434782608695652,0.67912881434894,0.253239540910774,0.00590658218413648
"Fun","positive",6.25,1.251,4.389,5,5.158,"Outgoing",4,23,17,195.078310557685,0.273068608171313,0.00371747211895911,0.664361001317523,0.206410256410256,0.00778522306470436
"Funny","positive",5.812,1.228,5.5,5.632,4.842,"Outgoing",4,18,27,155.450878538361,0.44286306465654,0.00381679389312977,0.730936819172113,0.247474747474747,0.0105079537052584
"Generous","positive",6.312,1.32,5.389,4.947,4.632,"Respectful",2,18,36,153.19614652761,0.721274766209497,0.00398406374501992,0.71078431372549,0.283717679944095,0.0107343334547056
"Gentle","positive",5.562,1.417,4.778,4.842,4.526,"Respectful",2,25,21,194.442272759648,0.381916654953075,0.00387596899224806,0.695,0.218357487922705,0.00654409996264549
"Giving","positive",6.125,1.219,5.444,4.895,5,"Respectful",2,16,21,83.2578894684521,0.419818030661916,0.00378787878787879,0.695833333333333,0.328828828828829,0.00679144175643513
"Glad","positive",6.062,1.51,3.611,4.684,5.158,"Respectful",4,8,10,16.0522653816854,0.196436842804865,0.00338983050847458,0.68452380952381,0.437908496732026,0.0036977180149033
"Good","positive",6.188,1.219,4.5,4.632,5.632,"Respectful",2,40,13,179.441382656285,0.300350367893569,0.00401606425702811,0.670940170940171,0.283018867924528,0.00437487845454363
"Good-humored","positive",6,1.6,5.167,5.579,4.842,"Outgoing",4,22,12,122.239225916067,0.209668948678708,0.00374531835205993,0.75036075036075,0.272727272727273,0.00476972710675787
"Good-natured","positive",6.375,1.298,5.444,5.105,5.105,"Respectful",2,53,49,931.847591485618,0.964746287584322,0.00440528634361234,0.699806482825351,0.162298582799456,0.0158459126348983
"Good-tempered","positive",6.25,1.698,5.111,5.316,4.737,"Respectful",2,35,20,135.488768570758,0.400072206025906,0.00398406374501992,0.721848739495798,0.261279461279461,0.00487518347072761
"Graceful","positive",5.938,2.118,4.389,5.158,4.211,"Level-headed",1,13,22,102.966819550549,0.447291721145501,0.00367647058823529,0.741452991452991,0.218487394957983,0.0106499746074156
"Healthy","positive",6.188,1.873,3.611,5,4.895,"Thoughtful",3,6,7,19.3440739896768,0.117496593811046,0.00350877192982456,0.233333333333333,0.179487179487179,0.00302509733597523
"Helpful","positive",6.562,1.091,5.667,5.632,5.053,"Respectful",2,30,18,113.56123205138,0.359138201649697,0.00389105058365759,0.73639846743295,0.289007092198582,0.005042467415703
"Honest","positive",5.938,2.32,5.833,5,4.947,"Respectful",2,23,13,52.6596905077157,0.235155969499749,0.00374531835205993,0.760210803689065,0.284126984126984,0.00365832318464712
"Hospitable","positive",6,1.766,5.444,5.263,5.158,"Respectful",2,12,35,89.4934410710167,0.698002012053014,0.00395256916996047,0.707070707070707,0.324699352451434,0.0119851319651691
"Humble","positive",6.062,1.622,4.833,5.684,4.579,"Respectful",2,19,27,134.867637653457,0.516096747315697,0.00396825396825397,0.713450292397661,0.323671497584541,0.00831273347862267
"Humorous","positive",5.75,1.409,5.222,5.684,5.105,"Outgoing",4,9,14,8.36958038350343,0.209861157581484,0.00340136054421769,0.944444444444444,0.359683794466403,0.00488832024243793
"Industrious","positive",5.688,1.625,3.722,4.105,4.158,"Knowledgeable",1,20,18,162.208701726503,0.267276367457907,0.00380228136882129,0.68859649122807,0.251778093883357,0.0054569558343032
"Innocent","positive",5.125,1.7,3.056,4.842,4.316,"Respectful",2,17,32,207.948827837479,0.60919798692766,0.00389105058365759,0.646446078431373,0.21343537414966,0.0116770184214623
"Inquisitive","positive",5.688,1.841,4.944,4.684,3.947,"Knowledgeable",1,28,24,281.643050426344,0.354797365700912,0.00398406374501992,0.658509700176367,0.214932126696833,0.00633923071295356
"Inventive","positive",5.688,1.839,3.444,4.211,3.895,"Knowledgeable",1,19,30,245.413662340514,0.496791705408532,0.00395256916996047,0.532456140350877,0.237244897959184,0.00890502962135988
"Knowledgeable","positive",6.25,1.576,3.778,4.789,4.611,"Knowledgeable",1,56,27,569.864232677544,0.503065069335786,0.00431034482758621,0.657034632034632,0.178372024684102,0.0096179971567981
"Lenient","positive",5.375,1.326,4.722,5,4.316,"Respectful",2,10,17,27.4326067314081,0.31505850161319,0.00363636363636364,0.737037037037037,0.401709401709402,0.00505426259407404
"Level-headed","positive",6,1.73,3.944,4.737,4.368,"Level-headed",1,56,17,266.185216711998,0.368734471964289,0.00427350427350427,0.661904761904762,0.222602739726027,0.00549205199161717
"Lively","positive",5.688,1.435,4.833,5.316,5.421,"Outgoing",4,27,5,34.8290983115464,0.0509395036967075,0.00371747211895911,0.62630579297246,0.272177419354839,0.00222768401984187
"Loyal","positive",6.188,1.801,5.667,4.789,5.105,"Respectful",2,25,9,50.769203625119,0.16607591642832,0.00377358490566038,0.710555555555556,0.390374331550802,0.00302688490350389
"Lucky","positive",5.75,1.543,3.111,4.105,3.789,"Thoughtful",3,4,2,1.14526622754191,0.0242978613950386,0.00328947368421053,0.833333333333333,0.533333333333333,0.00140508799076347
"Mathematical","positive",4.75,1.749,2.056,4.158,3.684,"Knowledgeable",1,11,40,75.8165344398818,0.658936656074996,0.00396825396825397,0.863636363636364,0.313725490196078,0.0101378487750132
"Mature","positive",6.062,1.6,4.444,5.211,4.895,"Level-headed",1,25,26,186.578624767451,0.516147502404439,0.00396825396825397,0.695555555555556,0.258823529411765,0.00691718470863504
"Modern","positive",5.188,1.345,3.278,4.789,5.526,"Knowledgeable",1,10,13,44.3812995008403,0.227696561702105,0.003584229390681,0.548148148148148,0.245059288537549,0.00462919095407435
"Moral","positive",6.438,1.586,4.333,4.421,4.526,"Respectful",2,27,41,342.912302645313,0.748606848138984,0.00425531914893617,0.729819563152896,0.257243195785777,0.0120572462315559
"Natural","positive",5.625,1.455,4.167,4.789,4.895,"Thoughtful",3,10,9,27.0116525644735,0.14279047663039,0.00357142857142857,0.433333333333333,0.245614035087719,0.00235283062895716
"Neat","positive",5.75,1.873,3.5,5.158,4.474,"Level-headed",1,13,9,32.0784928266783,0.160431961032845,0.00354609929078014,0.641025641025641,0.311688311688312,0.00319177433058689
"Nice","positive",6.25,1.519,5.611,5,5.053,"Respectful",2,29,32,270.035337036305,0.642962521592631,0.00403225806451613,0.729885057471264,0.244808743169399,0.0101178156081194
"Normal","positive",5.5,1.249,4.222,4.842,5.211,"Thoughtful",3,13,15,57.1555845541301,0.254210304869962,0.00371747211895911,0.361111111111111,0.28042328042328,0.00460976923684373
"Open-minded","positive",5.75,1.786,5,4.737,4.947,"Thoughtful",3,36,20,293.97514162599,0.384967910049679,0.00401606425702811,0.612566137566138,0.196103896103896,0.0068964810996592
"Optimistic","positive",5.938,1.833,5,5.263,5,"Thoughtful",3,13,17,160.553074676941,0.259925085186785,0.00371747211895911,0.636752136752137,0.222988505747126,0.00414103453916049
"Orderly","positive",5.438,1.611,3.944,5.053,4.778,"Knowledgeable",1,21,23,120.203004600514,0.443977658919966,0.00392156862745098,0.629761904761905,0.305496828752643,0.00627675724165693
"Original","positive",5.938,1.228,4.111,4.316,4.316,"Thoughtful",3,19,15,106.408264081768,0.232496612200901,0.00378787878787879,0.583820662768031,0.244206773618538,0.00404935409793512
"Outgoing","positive",5.75,1.48,5.5,5.526,4.947,"Outgoing",4,27,22,307.740371796618,0.320366225468531,0.00384615384615385,0.702279202279202,0.196428571428571,0.00865033270337884
"Outspoken","positive",5.438,1.539,5.556,5.263,5.316,"Outgoing",4,23,6,59.2344362173084,0.0703570858371651,0.0036231884057971,0.682806324110672,0.253694581280788,0.0026771078680561
"Passionate","positive",5.75,1.391,5,5.474,4.684,"Thoughtful",3,29,5,78.1252230296896,0.0835928790648008,0.00378787878787879,0.591748768472906,0.238859180035651,0.00277263532578684
"Peaceful","positive",6.438,1.057,4.389,5.421,4.895,"Respectful",2,44,25,315.61754184418,0.539824365931929,0.004149377593361,0.680761099365751,0.225063938618926,0.00766040655559382
"Perfectionistic","positive",4.25,2.033,3.889,5.316,3.737,"Knowledgeable",1,22,34,198.824880761021,0.522144230843579,0.00398406374501992,0.725829725829726,0.233116883116883,0.008942663493361
"Persevering","positive",5.812,1.724,3.556,4.737,4.895,"Knowledgeable",1,32,14,132.459646922014,0.223930975297283,0.00390625,0.651545698924731,0.232850241545894,0.00438246483171956
"Persistent","positive",5.875,1.543,4.111,5.053,4.579,"Knowledgeable",1,36,28,498.944710670319,0.449481151709586,0.0040983606557377,0.629100529100529,0.175099206349206,0.00939256251880555
"Philosophical","positive",5.25,1.312,4.176,4.368,3.789,"Knowledgeable",1,16,13,76.5414977148385,0.250282868738651,0.00367647058823529,0.618055555555556,0.278325123152709,0.00450247671341388
"Polished","positive",5.375,1.51,3.667,4.474,4.158,"Level-headed",1,22,40,394.878839882038,0.71049199340781,0.00411522633744856,0.602092352092352,0.200423056583818,0.0152423024532607
"Positive","positive",6.188,1.372,5.222,5.105,5.053,"Respectful",2,36,17,213.799647226702,0.319254658466646,0.00403225806451613,0.656481481481481,0.246008708272859,0.00477881203041284
"Practical","positive",5.562,1.359,4.056,4.789,4.632,"Knowledgeable",1,36,23,266.124917177491,0.409671401284425,0.00404858299595142,0.683597883597884,0.249561659848042,0.00733530170457172
"Precise","positive",5.625,1.967,3.556,4.789,4.263,"Knowledgeable",1,31,30,342.765073455576,0.552330062971708,0.004,0.687455197132616,0.203825136612022,0.0116020140850899
"Prideful","positive",4.312,1.853,3.833,4.737,5.263,"Thoughtful",3,7,11,34.9814731207201,0.139809296496503,0.00359712230215827,0.73015873015873,0.287581699346405,0.00430504419151024
"Prompt","positive",5.688,1.691,4,5.056,4.722,"Knowledgeable",1,10,14,22.8071607060365,0.222958244774219,0.00359712230215827,0.711111111111111,0.344202898550725,0.00355918372820016
"Prudent","positive",5.75,1.919,4,4.158,3.947,"Knowledgeable",1,12,11,28.4604329206308,0.158395765591052,0.00357142857142857,0.792929292929293,0.379446640316206,0.00286705923734194
"Punctual","positive",5.875,1.944,4.5,5.053,4.474,"Knowledgeable",1,20,15,61.5069516247955,0.261067597053955,0.0037593984962406,0.728947368421053,0.327731092436975,0.00412122368344309
"Purposeful","positive",6,1.453,3.944,4.263,4.842,"Knowledgeable",1,28,37,449.47855784533,0.541196078807365,0.00416666666666667,0.698412698412698,0.217307692307692,0.0107428394843968
"Quick-witted","positive",5.75,1.736,5.333,5.474,4.389,"Outgoing",4,13,27,116.264877909061,0.425183804462489,0.00378787878787879,0.637179487179487,0.25,0.0093857628428914
"Quiet","positive",4.75,1.551,3.944,5.895,4.105,"Level-headed",2,10,12,27.7202176475074,0.231378066096541,0.003584229390681,0.72962962962963,0.316017316017316,0.00525201254242372
"Rational","positive",5.875,1.667,4.333,5.053,4.684,"Knowledgeable",1,42,29,389.529649203168,0.506565325484418,0.00418410041841004,0.694154084397987,0.222535211267606,0.00824674734797107
"Realistic","positive",5.875,1.906,3.722,4.579,4.737,"Knowledgeable",1,24,14,115.630913550945,0.275830015076617,0.00383141762452107,0.63798309178744,0.28022759601707,0.00473443133865472
"Refined","positive",5.625,1.618,4.444,4.895,3.842,"Level-headed",1,32,23,347.551610759011,0.416818250714664,0.00408163265306122,0.659610215053763,0.255892255892256,0.00909762424788589
"Reserved","positive",4.625,1.59,3.833,5.316,4.368,"Level-headed",1,20,9,70.7284377153017,0.1760860248086,0.0036231884057971,0.710526315789474,0.278325123152709,0.00420768498247037
"Respectable","positive",6.188,1.131,5.333,5.316,4.842,"Thoughtful",3,46,26,351.264244315982,0.521046148294945,0.00427350427350427,0.679549114331723,0.238262910798122,0.00686955385707386
"Respectful","positive",6.375,1.551,5.667,5.316,5.158,"Respectful",2,54,33,451.568615859838,0.686888443405123,0.00427350427350427,0.702422548334498,0.18925421010425,0.00976466561258051
"Romantic","positive",5.562,1.873,5.444,4.947,4.316,"Respectful",2,11,16,80.9656198566839,0.300490823316398,0.00367647058823529,0.5,0.259259259259259,0.00664492973237414
"Scientific","positive",5.188,1.869,3.111,5.263,3.947,"Knowledgeable",1,18,39,222.758561648051,0.666535758460239,0.00404858299595142,0.721132897603486,0.244987468671679,0.0110766118869186
"Self-controlled","positive",6,1.998,3.333,4.789,4.789,"Level-headed",1,52,23,286.896111380732,0.418783012144723,0.00431034482758621,0.652966314731021,0.23027027027027,0.00520553808610247
"Self-critical","positive",4.5,2.262,3.167,4.105,4.947,"Knowledgeable",1,12,11,37.0941636102678,0.179860134274557,0.00366300366300366,0.303030303030303,0.379446640316206,0.00279409367097313
"Self-sufficient","positive",6.062,1.801,3.167,5,5.053,"Knowledgeable",1,24,15,131.48179007005,0.233156777122406,0.00383141762452107,0.679951690821256,0.279352226720648,0.00533482269137793
"Sensitive","positive",4.938,1.536,4.833,4.789,4.579,"Respectful",2,20,23,127.790003746276,0.46327043804662,0.00374531835205993,0.752631578947368,0.252491694352159,0.00853938025079496
"Sentimental","positive",5.5,1.886,4.333,4.789,4.947,"Respectful",2,7,16,22.8177861780768,0.286397479610955,0.00350877192982456,0.928571428571429,0.268774703557312,0.00591624442302349
"Sincere","positive",6.25,1.74,5.333,4.526,5,"Respectful",2,30,36,375.115212598746,0.724167507655276,0.0040983606557377,0.742145593869732,0.236363636363636,0.0138986820669885
"Skillful","positive",6.125,1.237,3.444,4.632,4.842,"Knowledgeable",1,27,18,107.130483396343,0.296317455919381,0.00390625,0.704178537511871,0.268686868686869,0.00443144846127314
"Smart","positive",6.25,1.768,3.722,4.789,4.684,"Knowledgeable",1,38,29,372.924872500604,0.500519787488601,0.0040983606557377,0.615220483641536,0.159656264133876,0.0082465739623561
"Sociable","positive",6.125,1.409,6,5.474,5.579,"Outgoing",4,23,25,262.580215450082,0.390649155721686,0.00386100386100386,0.704545454545454,0.237588652482269,0.00988090268504445
"Sophisticated","positive",5.5,1.536,4.167,5.368,4.053,"Level-headed",1,11,33,134.41247452084,0.569592200496545,0.00395256916996047,0.739393939393939,0.274841437632135,0.010989201583935
"Stable","positive",6.25,1.417,4.222,5.211,5,"Level-headed",1,25,40,245.830769427642,0.695211210825393,0.00416666666666667,0.737777777777778,0.273557692307692,0.0101810170303627
"Steady","positive",5.75,1.532,3.833,4.684,4.632,"Knowledgeable",1,28,20,112.609736327596,0.370301477613103,0.00383141762452107,0.680776014109347,0.229609929078014,0.00506224446602671
"Straightforward","positive",5.688,1.795,5.333,5.105,4.789,"Knowledgeable",1,20,22,185.020326235597,0.295615866042759,0.00390625,0.712280701754386,0.249709639953542,0.00690122020392724
"Studious","positive",5.375,1.829,3.611,4.684,3.684,"Knowledgeable",1,17,24,81.7334372050156,0.380168099996867,0.00389105058365759,0.779411764705882,0.380487804878049,0.00577493132472019
"Subtle","positive",5.312,1.505,4.333,4.105,3.789,"Level-headed",1,6,18,32.523813696996,0.303454661956391,0.00366300366300366,0.755555555555556,0.394927536231884,0.00599447914366832
"Talkative","positive",5.375,1.921,5.667,5.684,5.632,"Outgoing",4,18,10,55.8282168384638,0.120154213224042,0.0036101083032491,0.80718954248366,0.346560846560847,0.00343443605556916
"Thoughtful","positive",6.312,1.323,5,4.368,4.895,"Thoughtful",3,69,27,518.799930247123,0.574395721853067,0.00454545454545455,0.663540778630293,0.197149122807018,0.00690525008818195
"Thrifty","positive",5.067,1.839,2.944,4.421,4.263,"Knowledgeable",1,5,17,29.6955071688828,0.320559145066182,0.00357142857142857,0.75,0.367965367965368,0.00572681744519254
"Tough","positive",5.438,0.728,3.944,4.632,4.632,"Knowledgeable",1,8,20,92.852616447181,0.275408073400152,0.00364963503649635,0.678571428571429,0.224867724867725,0.00764545977500523
"Unafraid","positive",5.688,2.262,3.556,4.211,3.947,"Thoughtful",3,15,11,76.5854685616026,0.150943031490221,0.00364963503649635,0.636507936507936,0.261538461538462,0.00462307045942263
"Unassuming","positive",5.125,1.741,4.167,4.263,4.368,"Thoughtful",3,10,61,258.75856421638,0.98319296871146,0.00436681222707424,0.744444444444444,0.222132796780684,0.01790429839578
"Understanding","positive",6.562,1.667,5.111,4.632,5.053,"Respectful",2,33,20,130.23702431815,0.411702392468322,0.004,0.719381313131313,0.298984034833091,0.00488241668393915
"Unenvious","positive",5.625,1.759,4.778,3.684,3.316,"Respectful",2,0,12,0,0.31133559105958,0.00341296928327645,0,0.757575757575758,0.00484889082170123
"Unprejudiced","positive",5.5,2.251,4.889,4.316,3.684,"Thoughtful",3,14,15,69.2948762209323,0.259549052384621,0.00367647058823529,0.813186813186813,0.248768472906404,0.00495383476804661
"Unpretentious","positive",5.812,1.844,4.444,4.474,4.263,"Thoughtful",3,17,28,124.093685766565,0.500597508607674,0.00393700787401575,0.761029411764706,0.344444444444444,0.0088463860181963
"Unselfish","positive",5.5,2.015,4.889,4.895,3.737,"Respectful",2,25,33,128.261427598231,0.657596259946352,0.00401606425702811,0.765555555555556,0.302480338777979,0.00856227784363616
"Untiring","positive",5.625,1.741,3.333,3.842,3.368,"Knowledgeable",1,7,15,27.5202583730259,0.213621590259495,0.00359712230215827,0.880952380952381,0.298701298701299,0.00445391459815235
"Verbal","positive",5.562,1.888,5.389,5.947,5.421,"Outgoing",4,9,13,36.876096075773,0.155994056215584,0.00347222222222222,0.75,0.298701298701299,0.0039575143803844
"Versatile","positive",6.188,1.249,4.222,5,4.737,"Thoughtful",3,5,5,4.30905870665892,0.0840339356806751,0.00333333333333333,0.5,0.355555555555556,0.00209454592680244
"Warm","positive",6.25,1.176,5.444,5.368,5.105,"Respectful",2,13,48,185.791268833713,1,0.00413223140495868,0.769230769230769,0.33551912568306,0.0175326553413927
"Well-mannered","positive",6.188,1.724,5.556,5.632,5,"Respectful",2,29,13,46.4892686935546,0.322779742666697,0.00384615384615385,0.740147783251232,0.349593495934959,0.00413324263267652
"Well-organized","positive",5.938,2.154,3.611,5.737,4.737,"Knowledgeable",1,23,34,205.113979235606,0.59502483414993,0.004,0.679183135704875,0.270050125313283,0.00883991381206575
"Well-read","positive",5.75,2.325,3.667,4.368,4.211,"Knowledgeable",1,11,21,43.9948230349277,0.31810498147322,0.0037037037037037,0.793939393939394,0.252016129032258,0.00517806961664947
"Well-spoken","positive",5.75,2.304,5.611,5.947,4.579,"Thoughtful",3,18,19,161.246590619284,0.299631450616996,0.00381679389312977,0.696078431372549,0.258258258258258,0.00591019776448332
"Wise","positive",6.312,1.419,4.5,5.316,4.211,"Knowledgeable",1,23,14,116.858543929064,0.246689998218118,0.00381679389312977,0.627470355731225,0.258258258258258,0.00475598827279263
"Witty","positive",5.938,1.9,5.222,5.211,3.684,"Outgoing",4,13,20,66.4219592992291,0.313465938347183,0.0037037037037037,0.777777777777778,0.25,0.00710876507397689
